Latitud;Longitud;Profundidad;Magnitud
-23.41 ;-70.46 ;47;5.2
-22.99 ;-70.22 ;48;4.5
-18.12 ;-69.47 ;120;5
-22.27 ;-70.8 ;40;5
-21.21 ;-69.4 ;75;4.2
-22.65 ;-70.4 ;42;4.1
-19.75 ;-69.29 ;98;4.1
-23.5 ;-67.0 ;194;5.8
-23.17 ;-66.86 ;239;6.6
-20.04 ;-70.94 ;43;4.5
-18.87 ;-69.29 ;123;4.3
-20.36 ;-69.14 ;106;5.2
-19.69 ;-69.48 ;97;4.9
-20.45 ;-70.15 ;18;4.1
-21.97 ;-68.86 ;103;4.9
-19.26 ;-70.22 ;77;4.3
-18.42 ;-69.27 ;121;6.3
-20.68 ;-70.78 ;16;4.8
-22.19 ;-68.7 ;112;5.8
-19.25 ;-69.26 ;116;4.4
-21.11 ;-68.7 ;129;5.1
-19.37 ;-70.18 ;39;4
-19.91 ;-69.96 ;64;4.1
-20.2 ;-70.85 ;40;5.3
-20.23 ;-70.86 ;32;4.4
-18.52 ;-69.33 ;123;4.7
-20.19 ;-70.81 ;27;4.6
-20.21 ;-68.87 ;129;4.4
-22.06 ;-68.52 ;134;5.7
-20.14 ;-70.1 ;44;4.1
-19.91 ;-70.91 ;32;4.9
-23.14 ;-69.65 ;61;4.3
-20.21 ;-70.94 ;31;4.5
-20.22 ;-70.93 ;35;4.4
-20.14 ;-69.23 ;98;4.2
-22.43 ;-68.58 ;130;6
-20.25 ;-70.74 ;24;4.4
-21.78 ;-68.42 ;134;5.3
-22.69 ;-69.05 ;105;4
-19.47 ;-69.56 ;110;4.6
-20.91 ;-69.25 ;106;4.3
-20.29 ;-70.17 ;38;5.3
-22.85 ;-69.34 ;83;4.2
-21.19 ;-68.73 ;112;5.1
-20.59 ;-69.26 ;108;4.7
-19.56 ;-69.32 ;99;4.3
-19.41 ;-69.34 ;106;4.4
-20.62 ;-69.13 ;109;4.5
-20.36 ;-70.28 ;46;4.2
-19.68 ;-70.25 ;69;4.4
-20.41 ;-69.14 ;112;4.9
-20.37 ;-69.05 ;101;4.2
-19.79 ;-69.25 ;97;5.6
-19.98 ;-70.97 ;31;4.6
-19.97 ;-71.05 ;38;5.1
-20.0 ;-70.96 ;36;4.9
-19.94 ;-70.96 ;35;5
-19.92 ;-70.9 ;40;4.5
-20.21 ;-69.15 ;100;4.8
-20.91 ;-69.22 ;91;5.3
-23.88 ;-67.12 ;250;6
-16.33 ;-70;233;5.5
-22.57 ;-68.71 ;109;4
-22.74 ;-68.97 ;118;4.5
-20.07 ;-68.89 ;115;4.8
-20.58 ;-70.63 ;17;4.5
-19.46 ;-69.31 ;108;4.2
-20.37 ;-69.3 ;100;4.8
-20.39 ;-68.97 ;111;4.6
-23.15 ;-70.61 ;31;4.5
-23.25 ;-69.29 ;75;4.7
-19.3 ;-69.62 ;97;4
-23.23 ;-68.53 ;115;5.9
-19.99 ;-68.95 ;106;4.6
-17.47 ;-69.79 ;194;5.5
-23.48 ;-69.03 ;116;5.4
-22.25 ;-68.81 ;126;5.4
-22.56 ;-68.91 ;102;4.1
-18.79 ;-69.94 ;85;4.5
-19.34 ;-69.39 ;108;4.6
-23.63 ;-69.05 ;97;5.1
-19.96 ;-69.19 ;105;4
-24.78 ;-70.55 ;37;6.3
-24.74 ;-70.55 ;39;5
-24.31 ;-67.46 ;208;5.5
-16.58 ;-71.3 ;128;5.3
-19.67 ;-69.27 ;101;4.4
-22.52 ;-68.81 ;87;4.2
-20.78 ;-69.25 ;104;4
-22.54 ;-70.32 ;39;4.7
-20.66 ;-69.19 ;105;4.2
-19.75 ;-69.24 ;98;4.4
-20.35 ;-68.94 ;106;4.5
-20.54 ;-69.22 ;112;4.4
-20.69 ;-68.8 ;105;4.5
-20.71 ;-69.26 ;103;4.1
-20.01 ;-69.15 ;101;4.1
-21.61 ;-70.34 ;37;4.5
-19.83 ;-69.12 ;104;4.6
-19.28 ;-70.13 ;53;4.8
-21.34 ;-68.89 ;91;5
-22.97 ;-69.01 ;96;5.1
-19.19 ;-69.37 ;105;4
-20.16 ;-70.49 ;36;4.3
-21.27 ;-69.62 ;44;4.2
-19.94 ;-70.31 ;53;5
-19.14 ;-69.44 ;105;4.4
-19.03 ;-69.47 ;94;4.2
-20.31 ;-69.17 ;100;4.5
-18.96 ;-70.18 ;72;4.2
-23.05 ;-69.05 ;95;5.3
-18.65 ;-70.61 ;48;5.1
-19.14 ;-69.27 ;112;4.7
-20.3 ;-68.95 ;101;4.5
-20.89 ;-70.44 ;61;4.2
-19.01 ;-70.48 ;49;4.3
-20.66 ;-71.02 ;20;4.5
-21.31 ;-69.72 ;65;4.1
-20.73 ;-69.69 ;35;4.4
-18.83 ;-69.54 ;90;5
-24.77 ;-70.64 ;36;4
-23.08 ;-68.9 ;102;5
-21.07 ;-70.1 ;74;4
-20.9 ;-68.91 ;105;4.5
-22.62 ;-68.75 ;125;5
-20.32 ;-69.93 ;52;4.6
-20.42 ;-68.83 ;108;4.7
-21.0 ;-66.87 ;271;5.3
-21.07 ;-68.57 ;126;4.7
-24.71 ;-69.47 ;88;5
-19.67 ;-69.08 ;110;4.5
-22.68 ;-68.66 ;96;4.5
-21.11 ;-68.91 ;113;4.1
-18.97 ;-70.12 ;52;4.1
-19.48 ;-69.25 ;107;5.3
-21.13 ;-68.92 ;114;4.6
-23.02 ;-69.0 ;93;4.4
-24.19 ;-67.5 ;199;6
-23.76 ;-70.33 ;50;4.1
-20.47 ;-68.89 ;107;4.3
-21.09 ;-68.79 ;114;4
-20.71 ;-69.13 ;90;5
-20.16 ;-71.01 ;30;4.9
-20.43 ;-69.31 ;94;4.6
-21.14 ;-68.87 ;110;4.7
-21.35 ;-69.98 ;39;4.3
-22.68 ;-68.58 ;111;4.3
-22.39 ;-68.61 ;114;4.4
-19.09 ;-69.93 ;73;4.4
-21.24 ;-69.47 ;74;4.1
-22.43 ;-66.2 ;293;6
-24.12 ;-68.23 ;135;5
-20.57 ;-69.17 ;105;4
-20.65 ;-69.12 ;111;4.4
-20.21 ;-69.27 ;105;5.1
-22.47 ;-68.79 ;117;5.1
-20.59 ;-68.92 ;110;4.6
-21.05 ;-70.25 ;38;4.2
-19.29 ;-69.65 ;82;4.5
-18.4 ;-69.7 ;112;4.4
-22.13 ;-69.89 ;72;4.3
-21.32 ;-67.97 ;173;5
-24.87 ;-70.76 ;18;4.1
-20.05 ;-69.09 ;113;5.3
-21.8 ;-68.62 ;121;5
-23.04 ;-69.06 ;78;4.5
-20.36 ;-69.54 ;72;4.4
-23.58 ;-68.19 ;134;5.1
-20.21 ;-69.25 ;100;4.1
-21.59 ;-68.53 ;114;4.9
-23.1 ;-70.61 ;36;4.6
-23.09 ;-70.6 ;30;4.7
-21.29 ;-68.84 ;114;4.1
-20.25 ;-69.18 ;94;4.4
-21.89 ;-68.42 ;116;4.6
-22.2 ;-68.45 ;127;4.8
-22.43 ;-68.64 ;105;5.1
-22.47 ;-68.51 ;134;5
-19.34 ;-69.35 ;110;5
-19.13 ;-69.42 ;96;4.6
-21.15 ;-69.97 ;49;4.4
-20.78 ;-69.17 ;109;4.2
-22.19 ;-68.73 ;102;4
-22.54 ;-68.72 ;115;4.3
-22.15 ;-68.68 ;113;4.6
-21.07 ;-68.7 ;112;4.9
-19.97 ;-68.87 ;116;5.3
-20.48 ;-68.83 ;111;4.2
-21.24 ;-70.22 ;66;4.4
-19.91 ;-70.45 ;56;5.1
-22.06 ;-70.28 ;35;4.1
-22.31 ;-67.92 ;177;6.1
-19.52 ;-70.11 ;32;4
-22.79 ;-69.83 ;73;5.8
-22.8 ;-69.78 ;69;4.3
-18.08 ;-69.23 ;142;4.9
-22.5 ;-68.75 ;115;4.9
-21.23 ;-68.66 ;121;4
-20.32 ;-68.99 ;107;4.3
-22.48 ;-68.67 ;110;4.9
-19.95 ;-70.01 ;54;5
-20.43 ;-69.14 ;96;4
-21.2 ;-68.72 ;124;4.6
-20.94 ;-69.01 ;95;4.7
-23.32 ;-70.4 ;54;4.4
-23.91 ;-67.26 ;266;6.5
-22.11 ;-68.74 ;97;4.3
-19.46 ;-69.15 ;114;5.4
-18.18 ;-69.87 ;96;4.3
-21.52 ;-68.39 ;123;4.5
-22.32 ;-67.76 ;175;5.1
-20.29 ;-68.72 ;117;4.6
-21.62 ;-68.48 ;127;5.1
-20.83 ;-69.02 ;105;4
-19.85 ;-69.0 ;109;5
-19.17 ;-69.96 ;70;4.1
-20.41 ;-69.13 ;109;4.4
-20.31 ;-70.2 ;40;4.1
-19.8 ;-69.21 ;99;4.4
-22.49 ;-68.82 ;122;5.2
-19.41 ;-70.37 ;70;4.2
-23.24 ;-68.05 ;156;6.2
-19.18 ;-70.12 ;58;4.4
-22.38 ;-69.79 ;62;4.8
-21.82 ;-68.41 ;124;4.8
-19.19 ;-69.98 ;63;4.5
-22.33 ;-68.82 ;117;4.2
-20.44 ;-69.12 ;93;4.5
-19.69 ;-69.3 ;107;5.3
-20.95 ;-69.04 ;103;4.3
-19.99 ;-70.97 ;36;4.8
-20.01 ;-69.2 ;94;4.5
-21.34 ;-68.89 ;115;4.4
-21.76 ;-70.36 ;40;4
-20.84 ;-68.73 ;115;5.9
-18.89 ;-70.12 ;31;4.2
-22.02 ;-70.02 ;51;4.3
-20.37 ;-68.97 ;110;4.3
-21.14 ;-68.57 ;131;4.9
-22.7 ;-68.53 ;127;4.9
-21.87 ;-68.77 ;120;5.2
-19.54 ;-70.09 ;53;4.5
-22.93 ;-68.75 ;98;5.5
-22.09 ;-70.11 ;67;5
-22.57 ;-68.9 ;126;4.2
-20.85 ;-69.12 ;105;4
-21.16 ;-68.88 ;111;4
-22.75 ;-68.85 ;100;4.6
-19.13 ;-69.32 ;111;4.5
-20.66 ;-69.83 ;57;4.2
-22.37 ;-68.8 ;101;4.6
-21.89 ;-68.64 ;112;5.5
-19.23 ;-70.17 ;49;4.1
-19.4 ;-69.58 ;92;5
-21.38 ;-68.64 ;124;4.8
-16.91 ;-73.59 ;36;5.6
-23.84 ;-69.2 ;95;5.4
-22.01 ;-70.39 ;45;4.1
-21.18 ;-69.15 ;44;5.4
-21.91 ;-68.58 ;110;4.8
-22.74 ;-69.15 ;91;4.4
-23.99 ;-69.52 ;77;4.9
-20.79 ;-68.93 ;102;4
-22.55 ;-68.88 ;91;4.7
-19.99 ;-70.99 ;31;5
-20.0 ;-71.06 ;30;4.6
-20.31 ;-69.04 ;105;4.6
-19.97 ;-70.11 ;47;4
-19.29 ;-70.08 ;71;5.2
-20.84 ;-69.11 ;112;4
-22.46 ;-66.82 ;278;5.3
-20.24 ;-69.25 ;96;4.1
-19.88 ;-69.07 ;105;4.1
-18.05 ;-69.93 ;105;4.7
-19.96 ;-70.96 ;32;4.4
-21.35 ;-66.95 ;279;5.2
-22.21 ;-68.73 ;112;4.6
-22.37 ;-68.54 ;115;5.8
-20.39 ;-68.89 ;104;4
-21.23 ;-68.74 ;118;4.5
-18.49 ;-69.74 ;100;6.3
-18.62 ;-69.78 ;75;4.5
-18.57 ;-69.77 ;90;4.9
-19.67 ;-69.18 ;99;4.3
-20.29 ;-69.14 ;91;4
-21.07 ;-68.75 ;116;4.2
-22.76 ;-68.94 ;107;4.9
-22.63 ;-67.72 ;169;5.4
-20.76 ;-69.69 ;55;4
-19.67 ;-69.3 ;100;4.1
-23.16 ;-69.93 ;54;4.4
-20.0 ;-69.13 ;98;4.1
-22.14 ;-68.66 ;129;5.1
-24.0 ;-69.29 ;94;4.3
-20.2 ;-69.21 ;91;4.3
-19.79 ;-69.28 ;105;5.3
-20.75 ;-69.13 ;108;5
-21.97 ;-68.68 ;98;4.5
-20.5 ;-68.92 ;103;4.3
-21.25 ;-68.42 ;124;4.3
-20.01 ;-70.8 ;44;4
-22.51 ;-70.54 ;28;4.2
-17.62 ;-69.46 ;159;5
-19.16 ;-70.06 ;42;4.4
-19.66 ;-71.15 ;35;5.3
-19.84 ;-70.24 ;23;4.6
-18.01 ;-70.08 ;84;4.5
-20.24 ;-69.15 ;100;4.5
-23.98 ;-69.35 ;95;4.6
-24.91 ;-70.17 ;53;5.5
-19.28 ;-69.36 ;104;5.1
-21.23 ;-68.68 ;119;4.2
-18.22 ;-69.57 ;130;4.7
-21.46 ;-68.78 ;116;4.6
-15.77 ;-74.67 ;35;7
-21.72 ;-68.57 ;112;4.5
-18.88 ;-69.61 ;129;6.2
-22.54 ;-68.92 ;89;4
-20.31 ;-69.11 ;106;5.3
-18.25 ;-69.12 ;11;5.3
-18.32 ;-69.19 ;12;4.2
-17.29 ;-70.86 ;34;5
-20.02 ;-70.51 ;33;4.1
-18.95 ;-69.35 ;107;4.9
-20.22 ;-69.18 ;94;4
-20.45 ;-68.65 ;126;5.1
-22.94 ;-69.13 ;109;4.8
-19.96 ;-70.09 ;50;4
-23.36 ;-69.19 ;94;4.4
-18.79 ;-69.15 ;122;4.8
-21.56 ;-69.57 ;18;4
-21.41 ;-68.72 ;119;4.6
-24.73 ;-69.49 ;88;4.6
-21.52 ;-70.01 ;78;4
-20.65 ;-68.9 ;105;4.1
-20.29 ;-70.53 ;46;5.4
-21.46 ;-68.81 ;103;5
-20.17 ;-69.4 ;85;4.1
-22.37 ;-68.65 ;107;5
-21.78 ;-68.48 ;140;4.6
-20.14 ;-69.17 ;95;4.7
-19.43 ;-69.21 ;113;4.3
-21.29 ;-68.73 ;113;4.7
-20.72 ;-69.18 ;99;4
-20.17 ;-69.04 ;105;4.9
-21.92 ;-68.77 ;98;4.6
-23.51 ;-69.25 ;107;4.4
-20.87 ;-69.11 ;107;4.1
-20.81 ;-69.06 ;115;4.3
-20.78 ;-69.2 ;107;4.9
-19.93 ;-69.42 ;107;4.4
-20.04 ;-69.05 ;90;4.1
-21.3 ;-69.86 ;46;4
-24.25 ;-67.47 ;190;6.1
-19.43 ;-70.34 ;53;4.4
-20.96 ;-69.01 ;105;4.1
-18.61 ;-69.82 ;135;4.5
-21.16 ;-69.01 ;116;4
-23.22 ;-68.91 ;110;5.1
-20.84 ;-69.09 ;107;4
-21.09 ;-68.91 ;112;4.2
-22.71 ;-70.19 ;54;4.1
-19.92 ;-69.61 ;12;4.1
-22.25 ;-68.67 ;117;4.9
-20.4 ;-69.04 ;119;4.4
-19.64 ;-69.48 ;88;5.3
-19.62 ;-69.3 ;97;4.6
-22.56 ;-66.5 ;297;4
-23.41 ;-69.55 ;70;4.2
-21.29 ;-68.79 ;108;4.3
-17.27 ;-69.66 ;178;4.9
-22.19 ;-70.41 ;56;4.1
-20.72 ;-68.95 ;99;4.1
-20.64 ;-69.13 ;119;4.1
-19.41 ;-69.27 ;109;4
-19.42 ;-69.44 ;98;3.6
-20.13 ;-70.02 ;54;3.7
-20.82 ;-69.44 ;90;3.8
-19.26 ;-69.34 ;105;4.1
-16.25 ;-71.74 ;141;5.5
-18.83 ;-69.94 ;80;4
-20.4 ;-69.93 ;44;4.2
-20.39 ;-69.98 ;40;3.4
-22.77 ;-68.89 ;100;4.2
-19.54 ;-70.38 ;56;5.2
-24.36 ;-70.04 ;66;5.6
-19.76 ;-69.56 ;28;3.5
-19.0 ;-69.53 ;96;4.3
-20.28 ;-69.3 ;89;4.1
-22.9 ;-66.67 ;275;4.4
-20.39 ;-69.93 ;55;3.3
-23.39 ;-69.81 ;48;4.4
-17.91 ;-70.02 ;107;4.7
-22.62 ;-68.62 ;116;4.8
-20.55 ;-69.09 ;100;4.1
-17.32 ;-70.07 ;128;4.8
-22.44 ;-68.68 ;110;4.6
-22.29 ;-68.75 ;103;4.9
-19.65 ;-69.41 ;101;6.3
-18.23 ;-70.03 ;105;3.9
-19.73 ;-69.39 ;89;4.8
-18.62 ;-70.52 ;39;4
-24.07 ;-69.05 ;115;4.7
-21.11 ;-68.96 ;112;4.5
-19.42 ;-69.22 ;110;4.4
-19.03 ;-69.89 ;38;3.6
-19.13 ;-70.42 ;30;4
-20.99 ;-69.95 ;68;5.1
-23.2 ;-69.26 ;86;4.1
-19.88 ;-71.01 ;35;4.7
-23.44 ;-69.36 ;89;5
-21.69 ;-69.04 ;94;4.2
-19.96 ;-69.35 ;84;4.2
-21.05 ;-68.94 ;103;4.6
-22.09 ;-68.9 ;98;4.7
-19.91 ;-69.21 ;92;4
-19.62 ;-69.29 ;96;3.7
-23.13 ;-69.12 ;89;4.1
-22.19 ;-68.72 ;114;4.5
-19.6 ;-69.67 ;102;5
-19.61 ;-69.13 ;104;4.9
-20.59 ;-69.79 ;24;4.3
-22.19 ;-68.86 ;95;4.2
-19.17 ;-70.12 ;68;4.2
-20.25 ;-70.21 ;40;3.1
-20.46 ;-69.0 ;102;4
-23.0 ;-69.36 ;87;4.4
-19.89 ;-71.14 ;37;5
-22.83 ;-68.72 ;110;4.6
-20.27 ;-69.93 ;53;3.3
-23.3 ;-70.87 ;49;3.7
-19.67 ;-69.53 ;89;3.7
-20.63 ;-69.38 ;98;3.9
-18.87 ;-69.64 ;119;4.8
